sentence,num_words,google_language,stopwords_language,book_name
"Vaikka se olikin h?nelle jo tuttu paikka h?n oli v?h??  ennen ollut siell? liki vuoden er??n Ludvig XIV:st? kirjoitetun  pilkkalaulun johdosta, jota h?n ei tosin ollut kirjoittanut --,  katsoi h?n t?m?n tapahtumasarjan kuitenkin niin kuvaavaksi, ett?  h?n sai siit? her?tyksen koko el?m?n ajaksi.",47,{'fi': 0.9999962847487323},"{'italian': 1, 'spanish': 1, 'french': 1, 'portuguese': 1, 'danish': 1, 'finnish': 11}",candide
"H?n huomasi, ettei se,  joka oli oikeassa, saanut t?ss? maailmassa aina tuota oikeuttaan  tunnustetuksi.",16,{'fi': 0.9999979786979976},"{'italian': 1, 'spanish': 1, 'finnish': 4, 'french': 1, 'portuguese': 1}",candide
"H?nen tuotantonsa pirtein osa kietoutuu t?m?n ""yleisesti tunnetun  ja surullisen tosiasian"" ymp?rille; pieniss? pilkkahenkisiss?  romaaneissa, joista t?m? nyt suomeksi k??nnetty ""Candide"", (1758) on  yksi, heiluttaa h?n ter?v?n satiirin ruoskaa kaikkia ennakkoluuloja  vastaan.",36,{'fi': 0.9999978367712302},"{'norwegian': 1, 'finnish': 7, 'english': 1, 'dutch': 1, 'french': 1}",candide
"""Candide""'ss? h?n nimenomaan panee vastalauseen sit?  filosofi Leibnitzin hyv?ntahtoista ja edistysvihollista v?itett?  vastaan, ett? t?m? meid?n maailmamme on parhain kaikista  mahdollisista.",24,{'fi': 0.9999983724693761},"{'norwegian': 1, 'finnish': 7, 'english': 1, 'dutch': 1, 'french': 1}",candide
"Ylimyksen ruoska oli iskenyt kipin?n, toisellaisen  kuin tarkoitus oli.",10,{'fi': 0.9999967452453968},{'finnish': 2},candide
"Muutamien kuukausien kuluttua p??si h?n Bastiljista ehdolla,  ett? menisi maanpakoon.",11,{'fi': 0.9999968664152593},{'finnish': 2},candide
H?n matkusti silloin Englantiin.,4,{'fi': 0.999998935564058},{},candide
"H?n  oli n?ihin aikoihin v?h?n yli kolmenkymmenen, tunsi perinpohjin  maansa ja sen p??kaupungin, sen turmeltuneet el?m?ntavat, huonon  hallituksen ja kurjan oikeuslaitoksen.",24,{'fi': 0.9999959850542626},"{'norwegian': 1, 'finnish': 5, 'dutch': 1}",candide
"Englannissa sai h?n n?hd?  lujan ja j?rjestetyn kansanvaltaisen hallituksen, lujan yleisen  oikeudentunnon, suuremman yksil?llisen, jopa aatelittomallekin  suodun vapauden.",21,{'fi': 0.9999981889564167},"{'norwegian': 1, 'finnish': 2, 'dutch': 1}",candide
"Oleskelu siell? tuli h?nelle toiseksi her?tykseksi,  se kun johti h?net toimimaan ajan yhteiskunnallisia ja henkisi?  kysymyksi? pohtivana filosofisena kirjailijana, historioitsijana ja  ihmisoikeuksien puoltajana.",26,{'fi': 0.9999975134639268},"{'italian': 1, 'dutch': 1, 'french': 1, 'portuguese': 1, 'finnish': 5, 'spanish': 1, 'norwegian': 2}",candide
H?nell? olikin nyt hyv? tilaisuus ty?skennell? rauhassa.,7,{'fi': 0.9999977572322443},{'finnish': 1},candide
"Englannista palattuaan oli h?n asettunut asumaan maaseudulle er??n  yst?v?tt?rens? luo, jossa h?n huolista vapaana saattoi kokonaan  antautua kirjailijaty?h?ns?.",20,{'fi': 0.9999955898381219},{'finnish': 3},candide
Nidos ja lentolehtinen toisensa j?lkeen  sinkosi h?nen kyn?st??n.,9,{'fi': 0.9999994490998798},"{'norwegian': 1, 'finnish': 2, 'dutch': 1}",candide
"Neron ja ennakkoluulottoman arvostelun  lahjomaton ja n?in? aikoina oudolla vieh?tyksell? vaikuttava  voima ihastutti lukijat, ja pian oli Voltaire aikansa ja maansa  kuuluisimpia ja pel?tyimpi? henkil?it?.",28,{'fi': 0.9999968148397124},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
"H?n seurasi nykyaikaisen  sanomalehden valppaudella kaikkea, ja lausui melkein kaikista aikansa  periaatteellisesti t?rke?mmist? ilmi?ist? mielipiteens?, ollen  yksin??n niin? vuosina samaa kuin nyky??n joku johtava maailmanlehti.",28,{'fi': 0.9999974983442363},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
"Historiallisilla teoksillaan, n?ytelmill??n ja romaaneillaan,  eepoksillaan ja saduillaan, nimett?mill? pikkukirjasillaan, joita  levisi suunnattoman suurina painoksina, tavattoman laajalla  kirjevaihdollaan, sukkeluuksillaan ja ter?vill? vastauksillaan,  ohjasi h?n aikansa mielipiteit? sek? ylimyst?n ett? porvariston  piireiss?.",36,{'fi': 0.9999976194775158},"{'norwegian': 1, 'finnish': 5, 'dutch': 1}",candide
"H?n oli suorastaan aikansa henkinen keskus; h?nen  toimintansa tavaton monipuolisuus ja laajuus h?mm?stytti niin Fredrik  II:sta, ett? h?nen lausuntonsa mukaan olisi voinut luulla kokonaisen  oppineen seuran toimivan Voltaire-nimell?.",31,{'fi': 0.9999958107562116},"{'italian': 1, 'norwegian': 1, 'finnish': 7, 'dutch': 1}",candide
Vuonna 1749 kuoli Voltairen yst?v?t?r.,5,{'fi': 0.9999966838299762},{},candide
"Silloin matkusti h?n  Fredrik II:n kutsusta Berliniin, mutta ei viihtynyt siell? kauan;  yst?vyksille tuli riita ja v.",19,{'fi': 0.9999949230626874},"{'norwegian': 1, 'finnish': 4, 'dutch': 1, 'french': 1}",candide
1753 matkusti Voltaire tiehens?.,4,{'fi': 0.9999985208511831},{},candide
"Sweitsin rajalta osti h?n nyt pienen maatilan sek? my?hemmin aivan  sen l?helt?, mutta Sweitsin alueelta, toisen, kuuluisan Ferney'n.",19,{'fi': 0.9999991901090508},"{'finnish': 5, 'french': 1}",candide
"T??ll? naureskeli h?n vain Ranskan hallituksen yrityksille saada  h?net vangituksi, milloin h?n vain sattui kirjoittamaan hallituksesta  jotakin loukkaavaa, ja sellaista tapahtui hallituksen mielest?  valitettavan usein.",28,{'fi': 0.9999963152716065},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
"Vahingoniloisella nopeudella kannatti ukko  itsens? aina, kun t?llaisesta tuli kysymys, tilalleen Sweitsin  puolelle, iloitellen sielt? vastustajansa pettymykselle.",19,{'fi': 0.9999956581856101},"{'norwegian': 1, 'finnish': 1}",candide
"Tilallaan piti h?n loistavaa hovia; vierainaan h?nell? oli  ruhtinaita, jotka kohtelivat h?nt? kuin vertaistaan.",15,{'fi': 0.9999980076058237},{'finnish': 6},candide
Alustalaistensa  taloudellisen aseman paransi h?n viisailla uudistuksilla.,8,{'fi': 0.999995015904367},{'finnish': 1},candide
"H?nen  maineensa ja osaksensa saamansa kansan suosio kohosi korkeimmilleen,  kun h?n nyt, sotahuutonaan kuuluisa lause: ""h?vitt?k?? se kurja"",  alotti loistavan taistelun er?itten syytt?m?sti tuomittujen  ""kerettil?isten"" muiston puhdistamiseksi.",31,{'fi': 0.9999971515955188},"{'italian': 1, 'dutch': 1, 'french': 1, 'portuguese': 1, 'finnish': 5, 'spanish': 1, 'norwegian': 2}",candide
"H?n oli yksin toisella  puolella, ja vastustajana oli ajan mahtavin voima, katolinen kirkko  ja sen jesuiittavalta, mutta silti Voltaire hehkuvalla innollaan  ja leimuavalla rohkeudellaan vei asiansa voittoon sitke?n ja  monivuotisen taistelun j?lkeen.",36,{'fi': 0.999997643490407},"{'norwegian': 1, 'finnish': 4, 'dutch': 1}",candide
"Sis?ll?lt??n oli t?m? taistelu kahden  aikakauden, kahden maailmankatsomuksen, edistyksen ja vanhoillisuuden  taistelua, jonka merkitys on katoamaton.",18,{'fi': 0.9999979584729624},"{'norwegian': 1, 'finnish': 5, 'english': 1, 'dutch': 1, 'french': 1}",candide
"Kun h?n 84-vuotiaana teki vaivaloisen matkan Parisiin, ollakseen  viel? kerran l?sn? er??n n?ytelm?ns? esityksess?, muodostui matka  h?nelle suoranaiseksi riemukuluksi.",21,{'fi': 0.9999967223699657},{'finnish': 2},candide
"Kunnianosoitukset saavuttivat  huippunsa siin? ""runoilijan kruunauksessa"", joka yleis?n riemuitessa  tapahtui Parisin oopperassa maaliskuussa 1778.",16,{'fi': 0.9999979661683851},{'finnish': 2},candide
Ilo ja mielenliikutus  mursi h?nen voimansa ja h?n kuoli v?h?n j?lkeenp?in.,12,{'fi': 0.9999978127559899},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
"T?ss? nyt suomalaiselle yleis?lle tarjona olevassa teoksessa  esiintyv?t Voltairen parhaat kirjailijaominaisuudet: vieh?tt?v?n  kertojan lahja, ter?v?, mutta ei katkera ironia, ""kansantajuinen  aatteellisuus"", humoristinen, keve?n hilpe? ja koseeraava,  yll?tt?vill? vastakohdilla, k??nteill? ja v?itteill? mielenkiintoa  hereill?pit?v? tyylitaito.",39,{'fi': 0.9999968741402852},"{'norwegian': 1, 'finnish': 4, 'dutch': 1}",candide
"Se on ihmeellinen sekoitus pilaa ja totta,  pilkkaa ja salattua itkua ihmiskunnan pahuuden t?hden.",15,{'fi': 0.9999981105789484},"{'norwegian': 1, 'finnish': 2, 'english': 1, 'dutch': 1, 'french': 1}",candide
"Ja maailma on sadan vuoden per?st? yh?kin niin paljon entinen ja sama  kuin Voltairen aikana, ett? h?nen suolansa ei ole k?ynyt v?h??k??n  mauttomaksi.",25,{'fi': 0.9999992139066634},"{'norwegian': 1, 'finnish': 8, 'english': 1, 'dutch': 1, 'french': 1}",candide
ENSIM?INEN LUKU.,2,{'ca': 0.9999941783253685},{},candide
Kuinka Candide kasvatettiin er??ss? kauniissa linnassa ja kuinka h?n  siit? samaisesta tuli poisajetuksi.,14,{'fi': 0.9999983746376774},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
"Westfalissa, herra parooni Thunder-ten-Tronckhin linnassa eli  kerran nuori poika, jolle luonto oli lahjoittanut mit? lempeimm?n  mielenlaadun.",18,{'fi': 0.9999974494216309},{'finnish': 3},candide
H?nen kasvonsa olivat h?nen sielunsa kuvastin.,6,{'fi': 0.9999982109831446},{'finnish': 2},candide
"H?nen arvostelutapansa oli yht? suora kuin h?nen syd?mens? oli  yksinkertainen; t?m?, luullakseni, oli juuri syyn? siihen, ett? h?nt?  nimitettiin Candide'ksi.",22,{'fi': 0.9999983862490143},{'finnish': 7},candide
[Ranskalainen sana _candide_ merkitsee:  avosyd?minen.,6,{'fi': 0.9999979890769656},{},candide
"] Talon vanhat palvelijat ep?iliv?t, ett? h?n oli herra  paroonin sisaren ja er??n naapurissa asuvan, hyv?n ja kunniallisen  aatelismiehen poika, miehen, jonka kanssa t?m? neiti ei koskaan ollut  tahtonut menn? naimisiin, sent?hden ettei h?n ollut voinut todistaa  omistavansa enemp?? kuin seitsem?nkymment?yksi sukupolvea esi-isi?,  koska muu osa h?nen sukupuustaan oli kadonnut aikojen h?m?r??n.",57,{'fi': 0.9999971883876968},"{'norwegian': 1, 'finnish': 12, 'dutch': 1}",candide
"Herra parooni oli Westfalin kaikkein mahtavimpia ylimyksi?, sill?  h?nen linnassaan oli oikea portti ja ikkunat; h?nen ritarisalinsa oli  lis?ksi sein?verhoilla koristettu.",23,{'fi': 0.9999969297884528},"{'norwegian': 1, 'finnish': 4, 'dutch': 1}",candide
Kaikki alipihojen koirat voitiin  tarpeen tullen yhdist?? jahtiparveksi; tallirengit olivat h?nen  esiratsastajiaan; kyl?n pappi oli h?nen hovisaarnaajansa.,19,{'fi': 0.9999970924755259},{'finnish': 3},candide
"Kaikki  nimittiv?t h?nt? armolliseksi herraksi ja nauroivat, kun h?n kertoi  kaskuja.",13,{'fi': 0.9999967638543227},"{'norwegian': 2, 'finnish': 4, 'dutch': 1}",candide
"Rouva paroonitar, joka painoi noin sataviisikymment? naulaa,  nautti t?lt? pohjalta eritt?in suurta kunnioitusta ja hoiti  em?nn?nvelvollisuutensa aivan erityisell? arvokkaisuudella, joka  seikka teki h?net viel?kin kunnioitettavammaksi.",28,{'fi': 0.9999962230361648},"{'norwegian': 1, 'finnish': 5, 'dutch': 1}",candide
"H?nen tytt?rens?  Kunigunda, joka oli seitsem?ntoistavuotias, oli verev?, tuores,  lihava, ruokahalua her?tt?v?.",14,{'fi': 0.999998261463872},{'finnish': 2},candide
Paroonin poika taas tuntui kaikessa  olevan is?ns? arvoinen.,9,{'fi': 0.9999979941667394},{},candide
"Kotiopettaja Pangloss oli talon oraakkeli ja  pieni Candide kuunteli h?nen opetuksiaan koko sill? luottamuksella,  joka oli ominaista h?nen ij?lleen ja luonteelleen.",23,{'fi': 0.9999963634361937},"{'norwegian': 1, 'finnish': 5, 'dutch': 1}",candide
Pangloss opetti metafysiko-teologo-kosmolonigologiaa.,3,"{'lt': 0.2857129694516152, 'fi': 0.7142840575425359}",{},candide
"H?n todisti  ihailtavan selv?sti, ettei ole olemassa mit??n seurausta ilman syyt?  ja ett? t?ss? parhaimmassa kaikista mahdollisista maailmoista h?nen  ylh?isyytens? herra paroonin linna oli kaunein kaikista mahdollisista  linnoista ja rouva paroonitar paras kaikista mahdollisista  paroonittarista.",40,{'fi': 0.9999973633388816},"{'norwegian': 1, 'finnish': 6, 'dutch': 1}",candide
"""On tieteellisesti todistettu"", sanoi h?n, ""ett? asiat eiv?t voi  olla toisin kuin mit? ne ovat; sill? koska kaikki on luotu jotakin  tarkoitusta varten, niin on kaikki luonnollisesti luotu parasta  mahdollista tarkoitusper?? silm?ll? pit?en.",36,{'fi': 0.9999987162232226},"{'italian': 2, 'turkish': 1, 'french': 2, 'finnish': 12, 'hungarian': 1, 'english': 1}",candide
"Pankaa tarkasti merkille,  kuinka nen?t ovat luodut varta vasten kannattamaan silm?laseja, ja  sent?hden onkin meill? silm?lasit; jalat ovat ilmeisesti rakennetut  sukkia ja jalkineita varten, sent?hden onkin meill? sukat ja  jalkineet; kivet ovat tehdyt lohkomista ja linnojen rakentamista  varten, sent?hden onkin armollisella paroonilla eritt?in kaunis  linna; maakuntamme mahtavimman paroonin t?ytyy luonnollisesti my?s  asua parhaiten.",60,{'fi': 0.999998853276468},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
"Ja koska siat ovat tehdyt tullakseen sy?dyiksi,  sy?mme me sikoja vuodet umpeensa.",13,{'fi': 0.9999982227835207},"{'dutch': 1, 'french': 1, 'portuguese': 1, 'finnish': 3, 'english': 1, 'spanish': 1, 'norwegian': 1}",candide
"T?st? seuraa, ett? ne, jotka ovat  tuoneet esille sen v?itteen, ett? kaikki on hyvin, ovat sanoneet  tyhmyyden; pit?isi sanoa, ett? kaikki on j?rjestetty parhain p?in"".",27,{'fi': 0.9999993059149891},"{'italian': 1, 'turkish': 1, 'french': 2, 'finnish': 6, 'hungarian': 1, 'english': 1}",candide
"Candide kuunteli tarkkaavaisesti ja uskoi viattomasti kaikki; sill?  h?nen mielest??n nti Kunigunda oli erinomaisen kaunis, vaikkei  h?nell? koskaan ollut tarpeeksi rohkeutta sanoa sit? h?nelle.",26,{'fi': 0.9999972854929629},"{'norwegian': 1, 'finnish': 8, 'dutch': 1}",candide
"H?n  tuli siihen johtop??t?kseen, ett? onnen j?lkeen olla syntynyt parooni  von Thunder-ten-Tronckhiksi toinen onnen aste oli olla nti Kunigunda,  kolmas n?hd? h?net joka p?iv? ja nelj?s kuunnella mestari Panglossia,  maakunnan ja niinmuodoin my?s koko maapallon suurinta filosofia.",41,{'fi': 0.9999968286272085},"{'norwegian': 1, 'finnish': 7, 'dutch': 1, 'german': 1}",candide
"Er??n? p?iv?n? Kunigunda k?velless??n linnan l?hell? olevassa  pieness? mets?ss?, jota nimitettiin puistoksi, n?ki pensastojen  lomitse, miten tohtori Pangloss antoi opetusta kokemusper?isess?  fysiikassa h?nen ?itins? kamarineitsyeelle, joka oli hyvin siev? ja  hyvin oppivainen ruskeasilm?inen impi.",38,{'fi': 0.9999984019211123},"{'norwegian': 1, 'finnish': 5, 'dutch': 1}",candide
"Koska nti Kunigundalla oli  suuret taipumukset tieteisiin, tarkkasi h?n henke? vet?m?tt? niit?  useasti toistuvia kokeita, joiden todistajaksi h?n oli joutunut;  h?n n?ki selv?sti tohtorin riitt?v?n aiheen syyt ja seuraukset, ja  h?n palasi sielt? kiihottuneessa mielentilassa, hyvin mietteiss??n,  palaen opinhalusta ja p??tellen itsekseen, ett? h?n eritt?in hyvin  soveltuisi riitt?v?ksi aiheeksi nuorelle Candidelle, samoin kuin t?m?  h?nelle itselleen.",63,{'fi': 0.999998135151541},"{'norwegian': 1, 'finnish': 9, 'dutch': 1}",candide
Linnaan palaillessaan h?n kohtasi Candiden ja punastui; Candide  punastui my?skin.,11,{'fi': 0.9999966543859311},"{'norwegian': 1, 'finnish': 2, 'dutch': 1}",candide
"Kunigunda sanoi hyv??p?iv?? vavahtelevalla ??nell?,  ja Candide sanoi h?nelle jotakin, tiet?m?tt? mit? h?n sanoi.",15,{'fi': 0.9999968004060451},"{'norwegian': 1, 'finnish': 4, 'dutch': 1}",candide
"Seuraavana p?iv?n? p?iv?llisen j?lkeen, kun oli noustu p?yd?st?,  joutuivat Kunigunda ja Candide sattumalta er??n varjostimen taa.",17,{'fi': 0.9999956682338573},"{'norwegian': 2, 'finnish': 3, 'dutch': 1}",candide
Kunigunda pudotti nen?liinansa.,3,{'fi': 0.9999952868870979},{},candide
"Candide nosti sen lattialta;  Kunigunda tarttui kaikessa viattomuudessaan h?nen k?teens?,  nuorukainen suuteli kaikessa viattomuudessaan nuoren neidin k?tt?  aivan erikoisen kiihke?sti, hell?sti ja armaasti; heid?n huulensa  yhtyiv?t, heid?n silm?ns? alkoivat hehkua, heid?n polvensa vapisivat,  heid?n k?tens? eksyiv?t harhateille.",42,{'fi': 0.9999953517109015},"{'norwegian': 1, 'finnish': 4, 'dutch': 1}",candide
"Herra parooni von Thunder-ten-Tronckh sattui samassa kulkemaan  varjostimen ohitse ja n?hdess??n t?m?n syyn ja t?m?n seurauksen, ajoi  h?n Candiden pois linnasta antaen h?nelle muutamia vahvoja potkuja  takapuoleen.",30,{'fi': 0.9999968402637854},"{'norwegian': 1, 'finnish': 4, 'dutch': 1, 'german': 1}",candide
Kunigunda py?rtyi; ja rouva paroonitar l?i h?nt? korvalle heti kun  h?n j?lleen her?si tietoisuuteen; ja mit? suurin sekasorto vallitsi  t?ss? kauneimmassa ja miellytt?vimm?ss? kaikista mahdollisista  linnoista.,29,{'fi': 0.9999971361649935},"{'norwegian': 2, 'finnish': 6, 'dutch': 1}",candide
TOINEN LUKU.,2,{'vi': 0.9999968278170072},{},candide
Mit? Candidelle tapahtui bulgarialaisten keskuudessa.,5,"{'et': 0.14285919687213608, 'fi': 0.8571407078912694}",{},candide
"Kun Candide n?in oli tullut poisajetuksi t?st? maallisesta  paratiisista, kulki h?n kauan aikaa tiet?m?tt? minne, itkien,  kohottaen tuon tuostakin silm?ns? taivasta kohden ja k??nt?en  ne my?s usein takaisin tuon maailman kauneimman linnan puoleen,  jossa oli tuo maailman kaunein vapaaherrallinen neiti.",44,{'fi': 0.9999961759418342},"{'italian': 2, 'dutch': 1, 'french': 1, 'finnish': 8, 'hungarian': 1, 'turkish': 1, 'norwegian': 1}",candide
H?n nukkui  illallista sy?m?tt? keskell? peltoja kahden vaon v?liss?.,10,{'fi': 0.9999975284494805},{},candide
"Lumi  putoili suurina hiutaleina, aivan j?hmettyneen? alkoi Candide  seuraavana p?iv?n? laahautua l?hint? kaupunkia kohti, jonka nimi  oli Waldberghoff-trarbk-dik-dorff, aivan rahatta ja puolikuolleena  n?l?st? ja v?symyksest?.",29,{'fi': 0.9999946603842018},"{'norwegian': 1, 'finnish': 3, 'dutch': 1}",candide
H?n pys?htyi surullisena er??n kapakan  ovelle.,7,{'fi': 0.9999959533943596},{},candide
Kaksi siniseen puettua miest? huomasi h?net.,6,{'fi': 0.9999975607459823},{'finnish': 1},candide
"-- Toveri, sanoi toinen, kas tuossapa on pulska nuorukainen, joka  t?ytt?? mitat.",13,{'fi': 0.9999972333350255},"{'finnish': 2, 'english': 1, 'french': 1}",candide
He tulivat Candiden luo ja pyysiv?t h?nt? hyvin kohteliaasti  p?iv?llist? sy?m??n.,12,{'fi': 0.9999964586523399},"{'norwegian': 1, 'finnish': 2, 'dutch': 1}",candide
"-- Hyv?t herrat, sanoi heille Candide miellytt?v?ll?  vaatimattomuudella, teette minulle suuren kunnian, mutta minulla ei  ole mill? maksaa puolestani.",21,{'fi': 0.9999961374777061},{'finnish': 7},candide
"-- Oh, herraseni, sanoi h?nelle toinen sinisist?, henkil?t, joilla  on sellaiset edellytykset ja ansiot kuin teill?, eiv?t koskaan maksa  mit??n.",22,{'fi': 0.9999990412308679},"{'norwegian': 1, 'finnish': 7, 'english': 1, 'dutch': 1, 'french': 1}",candide
Ettek? ole viisi jalkaa ja viisi tuumaa pitk??,8,{'fi': 0.9999977472247901},"{'norwegian': 1, 'finnish': 2, 'dutch': 1}",candide
"-- Kyll?, se on juuri pituuteni, hyv?t herrat, vastasi h?n kumartaen.",11,{'fi': 0.9999981755644367},"{'italian': 1, 'spanish': 1, 'french': 2, 'portuguese': 1, 'finnish': 3, 'english': 1}",candide
"-- Siisp?, herraseni, k?yk?? p?yt??n, emme ainoastaan maksa  edest?nne, vaan viel? lis?ksi pid?mme huolta siit?, ett? miehelt?  sellaiselta kuin te, ei t?st? l?hin koskaan ole puuttuva rahaa;  ihmiset ovat luodut ainoastaan auttamaan toisiaan.",36,{'fi': 0.9999982615648022},"{'spanish': 1, 'finnish': 10, 'french': 1, 'dutch': 1, 'portuguese': 1}",candide
"-- Olette oikeassa, sanoi Candide, sit? juuri on herra Pangloss  minulle aina sanonut; huomaan kyll?, ett? kaikki on j?rjestetty  maailmassa parhain p?in.",24,{'fi': 0.999997438804006},"{'finnish': 4, 'english': 1, 'french': 1}",candide
H?nt? pyydettiin ottamaan vastaan muutamia kultarahoja; h?n otti ne  ja tahtoi antaa niist? velkakirjan; sit? h?nen ei kuitenkaan sallittu  tehd?.,22,{'fi': 0.9999974920274873},"{'italian': 1, 'dutch': 1, 'french': 1, 'finnish': 7, 'hungarian': 1, 'turkish': 1, 'norwegian': 1}",candide
Ja niinp? istuttiin p?yt??n.,4,{'fi': 0.9999963927419061},{},candide
-- Rakastatte varmaankin suuresti?,4,{'fi': 0.9999949419145079},{},candide
alkoi toinen.,2,{'fi': 0.999996259333887},{},candide
"-- Oi kyll?, vastasi Candide, rakastan suuresti neiti Kunigundaa.",9,"{'et': 0.2857151366839022, 'fi': 0.7142848633160619}",{},candide
"-- Ei, sanoi toinen herroista, me kysymme teilt?, ettek? rakasta  suuresti bulgarien kuningasta.",14,{'fi': 0.999996680513507},"{'dutch': 1, 'french': 1, 'portuguese': 1, 'finnish': 2, 'english': 1, 'spanish': 1, 'norwegian': 1}",candide
"-- En ollenkaan, sanoi h?n, sill? en ole h?nt? koskaan n?hnyt.",11,{'fi': 0.9999972350262809},"{'dutch': 1, 'finnish': 5, 'french': 1, 'swedish': 1, 'danish': 1, 'turkish': 1, 'spanish': 1, 'norwegian': 1}",candide
-- Kuinka?,2,{'fi': 0.9999945617130823},{},candide
h?n on ihanin kaikista kuninkaista ja meid?n t?ytyy juoda  h?nen maljansa.,12,{'fi': 0.9999977765434991},"{'norwegian': 1, 'finnish': 5, 'english': 1, 'dutch': 1, 'french': 1}",candide
"-- Kovin kernaasti, hyv?t herrat, sanoi Candide ja joi.",9,{'fi': 0.9999965571199425},"{'norwegian': 1, 'finnish': 1, 'dutch': 1}",candide
"-- Se riitt??, sanottiin h?nelle, nyt olette te bulgarien tuki ja  turva, puoltaja ja sankari; teid?n onnenne on taattu ja kunnian tie  viittaa teille.",26,{'fi': 0.9999963624767827},"{'dutch': 2, 'french': 2, 'portuguese': 1, 'finnish': 8, 'english': 1, 'spanish': 1, 'norwegian': 1}",candide
